m,seed,task,dataset,method,mae
1,0,legalbench:subset=abercrombie,legalbench,sample,0.4213921901528014
1,0,legalbench:subset=abercrombie,legalbench,pkps,0.15259014016276323
1,0,legalbench:subset=abercrombie,legalbench,ens,0.1476438825012948
1,0,legalbench:subset=abercrombie,legalbench,irt,0.27624309580119083
1,0,legalbench:subset=corporate_lobbying,legalbench,sample,0.3741039426523297
1,0,legalbench:subset=corporate_lobbying,legalbench,pkps,0.154875675922053
1,0,legalbench:subset=corporate_lobbying,legalbench,ens,0.14664938488908152
1,0,legalbench:subset=corporate_lobbying,legalbench,irt,0.6924304567045751
1,0,legalbench:subset=function_of_decision_section,legalbench,sample,0.4596774193548388
1,0,legalbench:subset=function_of_decision_section,legalbench,pkps,0.09012789270716712
1,0,legalbench:subset=function_of_decision_section,legalbench,ens,0.09856847354610661
1,0,legalbench:subset=function_of_decision_section,legalbench,irt,0.5025053299495544
1,0,legalbench:subset=international_citizenship_questions,legalbench,sample,0.47517921146953407
1,0,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.12586475592072432
1,0,legalbench:subset=international_citizenship_questions,legalbench,ens,0.1305252021557393
1,0,legalbench:subset=international_citizenship_questions,legalbench,irt,0.3240499548853003
1,0,legalbench:subset=proa,legalbench,sample,0.22105263157894736
1,0,legalbench:subset=proa,legalbench,pkps,0.1298948726055387
1,0,legalbench:subset=proa,legalbench,ens,0.11795527049500616
1,0,legalbench:subset=proa,legalbench,irt,0.06578716973553247
1,0,math:subject=algebra,math,sample,0.26935483870967747
1,0,math:subject=algebra,math,pkps,0.23854227028118752
1,0,math:subject=algebra,math,ens,0.21017066409252916
1,0,math:subject=algebra,math,irt,0.09999540367422655
1,0,math:subject=counting_and_probability,math,sample,0.33802040253653154
1,0,math:subject=counting_and_probability,math,pkps,0.2314019295292144
1,0,math:subject=counting_and_probability,math,ens,0.21289049542562152
1,0,math:subject=counting_and_probability,math,irt,0.3830478158425084
1,0,math:subject=geometry,math,sample,0.39445387662705156
1,0,math:subject=geometry,math,pkps,0.18400787465743784
1,0,math:subject=geometry,math,ens,0.16774868968105797
1,0,math:subject=geometry,math,irt,0.4894713802618482
1,0,math:subject=intermediate_algebra,math,sample,0.3899917287014061
1,0,math:subject=intermediate_algebra,math,pkps,0.2099056750275301
1,0,math:subject=intermediate_algebra,math,ens,0.19471352612969145
1,0,math:subject=intermediate_algebra,math,irt,0.4893598429854733
1,0,math:subject=number_theory,math,sample,0.29354838709677417
1,0,math:subject=number_theory,math,pkps,0.241117538697976
1,0,math:subject=number_theory,math,ens,0.19795584395208343
1,0,math:subject=number_theory,math,irt,0.2494131933174462
1,0,math:subject=prealgebra,math,sample,0.29044761190297586
1,0,math:subject=prealgebra,math,pkps,0.22442866938571832
1,0,math:subject=prealgebra,math,ens,0.188381699623486
1,0,math:subject=prealgebra,math,irt,0.240280575040339
1,0,math:subject=precalculus,math,sample,0.37332578758724777
1,0,math:subject=precalculus,math,pkps,0.1991315127327623
1,0,math:subject=precalculus,math,ens,0.17387518196853474
1,0,math:subject=precalculus,math,irt,0.5403485732443044
1,0,med_qa,med_qa,sample,0.4445340501792115
1,0,med_qa,med_qa,pkps,0.11601656151931462
1,0,med_qa,med_qa,ens,0.11986308227211864
1,0,med_qa,med_qa,irt,0.32404995488530025
1,0,wmt_14:language_pair=cs-en,wmt_14,sample,0.13377702231095462
1,0,wmt_14:language_pair=cs-en,wmt_14,pkps,0.06222729382354757
1,0,wmt_14:language_pair=cs-en,wmt_14,ens,0.05941376725725631
1,0,wmt_14:language_pair=de-en,wmt_14,sample,0.13122730657354886
1,0,wmt_14:language_pair=de-en,wmt_14,pkps,0.03584345457666924
1,0,wmt_14:language_pair=de-en,wmt_14,ens,0.037476155883018544
1,0,wmt_14:language_pair=fr-en,wmt_14,sample,0.14647401947172406
1,0,wmt_14:language_pair=fr-en,wmt_14,pkps,0.023939601096939246
1,0,wmt_14:language_pair=fr-en,wmt_14,ens,0.030602515418114266
1,0,wmt_14:language_pair=hi-en,wmt_14,sample,0.13829163284875562
1,0,wmt_14:language_pair=hi-en,wmt_14,pkps,0.10472004724482058
1,0,wmt_14:language_pair=hi-en,wmt_14,ens,0.09050689238123054
1,0,wmt_14:language_pair=ru-en,wmt_14,sample,0.14053903168151166
1,0,wmt_14:language_pair=ru-en,wmt_14,pkps,0.06773584084499228
